"season","week","team","opponent","gsis_id","sleeper_id","full_name","passer_gsis_id","bucket","targets","target_read_share","receptions","receiving_yards","yards_per_target","air_yards","adot","yac","epa_per_target","success_rate","first_down_rate","explosive_rate","receiving_tds","td_rate","targets_eligible","targets_charted_read","read_coverage_rate","output_class","source","read_semantics"
2026,1,"BUF","HOU","00-0038933","10236","Dalton Kincaid","00-0034857","RAW_2",1,0.166666666666667,1,38,38,38,38,0,1.93578320846427,1,1,1,0,0,6,6,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"BUF","HOU","00-0038933","10236","Dalton Kincaid","00-0034857","SCRAMBLE_DRILL",1,0.166666666666667,1,11,11,11,11,0,0.658914154802915,1,1,0,0,0,6,6,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"BUF","HOU","00-0039901","11637","Keon Coleman","00-0034857","RAW_1",2,1,1,11,5.5,4,4,-3,0.0244486424126663,0.5,0,0,0,0,2,2,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"CAR","CHI","00-0031610","2505","Darren Waller","00-0039150","CHECKDOWN",1,0.5,1,11,11,4,4,7,0.15299413347384,1,1,0,0,0,2,2,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"CAR","CHI","00-0031610","2505","Darren Waller","00-0039150","RAW_1",1,0.5,1,17,17,4,4,13,1.08525026962161,1,1,1,0,0,2,2,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"CAR","CHI","00-0036555","7594","Chuba Hubbard","00-0039150","CHECKDOWN",1,0.333333333333333,1,29,29,1,1,28,2.95078533218475,1,1,1,0,0,3,3,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"CAR","CHI","00-0036555","7594","Chuba Hubbard","00-0039150","DESIGNED",1,0.333333333333333,1,5,5,-5,-5,10,-0.874965039547533,0,0,0,0,0,3,3,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"CAR","CHI","00-0036555","7594","Chuba Hubbard","00-0039150","SCRAMBLE_DRILL",1,0.333333333333333,1,4,4,4,4,0,2.24663027672796,1,1,0,1,1,3,3,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"CAR","CHI","00-0037005","7694","Tommy Tremble","00-0039150","CHECKDOWN",1,0.2,0,0,0,-1,-1,,-0.436675001285039,0,0,0,0,0,5,5,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"CAR","CHI","00-0037005","7694","Tommy Tremble","00-0039150","RAW_1",4,0.8,3,25,6.25,24,6,9,0.244485640432686,0.5,0.5,0,0,0,5,5,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
