"season","through_week","feature","offense_team","defense_team","offense_rating","defense_rating","offense_percentile","defense_percentile","interaction_signal","predictive_status","confidence","output_class"
2026,3,"pass_epa_vs_pass_defense","ATL","NYJ",-0.094,-0.0128,0.0323,0.5161,-0.4516,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","PHI",-0.094,-0.026,0.0323,0.6129,-0.3548,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","PIT",-0.094,-0.0489,0.0323,0.7742,-0.1935,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","SEA",-0.094,-0.0544,0.0323,0.8387,-0.129,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","SF",-0.094,3e-04,0.0323,0.4516,-0.5161,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","TB",-0.094,0.0628,0.0323,0.129,-0.8387,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","TEN",-0.094,0.1358,0.0323,0.0323,-0.9355,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","WAS",-0.094,0.1421,0.0323,0,-0.9677,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BAL","ARI",0.0659,-0.0045,0.8065,0.4839,0.2903,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BAL","ATL",0.0659,-0.0361,0.8065,0.7097,0.5161,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BAL","BUF",0.0659,0.0313,0.8065,0.2258,0.0323,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BAL","CAR",0.0659,-0.021,0.8065,0.5484,0.3548,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BAL","CHI",0.0659,0.0114,0.8065,0.3871,0.1935,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BAL","CIN",0.0659,0.0527,0.8065,0.1935,0,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BAL","CLE",0.0659,0.0291,0.8065,0.2903,0.0968,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
