"season","week","game_id","gsis_id","sleeper_id","pfr_id","full_name","position","team","opponent","offensive_snaps","team_offensive_plays","snap_share_source","snap_share_derived","pass_play_personnel","team_pass_plays","route_participation","route_participation_definition","route_participation_reliability","targets","team_pass_att","target_share","receptions","air_yards","team_air_yards","air_yards_share","aDOT","targets_per_route_run","carries","team_rush_att","rush_share","position_group_rush_share","position_group_target_share","dropbacks","qb_scrambles","designed_rushes","red_zone_targets","red_zone_carries","inside_10_targets","inside_10_carries","goal_line_carries","end_zone_targets","team_rz_pass_att","team_rz_rush_att","rz_target_share","rz_carry_share","third_down_targets","third_down_carries","two_minute_targets","two_minute_carries","kick_returns","kick_return_yards","punt_returns","punt_return_yards","team_kick_returns","team_punt_returns","kick_return_opportunity_share","punt_return_opportunity_share","offense_domain_active","return_domain_active","team_offensive_plays_neutral_score_differential","overtime","prior_game_team","team_changed_since_prior_game"
2026,1,"2026_01_DEN_KC","00-0036428","6977","StrnJu00","Justin Strnad","LB","DEN","KC",0,50,0,0,,35,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,35,0,0,0,92,0,,,0,15,0,,,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,5,3,0,0,FALSE,FALSE,-9.24,FALSE,,FALSE
2026,1,"2026_01_ATL_PIT","00-0036429","7075","WoerCh00","Charlie Woerner","TE","ATL","PIT",37,60,0.62,0.616666666666667,,28,,"pass_play_personnel_share","PROXY_PERSONNEL_PRESENCE",0,28,0,0,0,77,0,,,0,32,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,4,3,0,0,TRUE,FALSE,-5.28333333333333,FALSE,,FALSE
2026,1,"2026_01_TB_CIN","00-0036442","6770","BurrJo01","Joe Burrow","QB","CIN","TB",64,63,1,1.01587301587302,,38,,"pass_play_personnel_share","PROXY_PERSONNEL_PRESENCE",0,38,0,0,0,226,0,,,3,25,0.12,,,36,0,3,0,2,0,0,0,0,7,8,0,0.25,0,2,0,2,0,0,0,0,6,,0,,TRUE,FALSE,8.85714285714286,FALSE,,FALSE
2026,1,"2026_01_ATL_PIT","00-0036463","7521","BlaiCh00","Chris Blair","WR","ATL","PIT",10,60,0.17,0.166666666666667,,28,,"pass_play_personnel_share","PROXY_PERSONNEL_PRESENCE",0,28,0,0,0,77,0,,,0,32,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,4,3,0,0,TRUE,FALSE,-5.28333333333333,FALSE,,FALSE
2026,1,"2026_01_MIA_LV","00-0036479","7633","PayeKw00","Kwity Paye","DL","LV","MIA",0,65,0,0,,32,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,32,0,0,0,226,0,,,0,33,0,,,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,2,4,0,0,FALSE,FALSE,7.52307692307692,FALSE,,FALSE
2026,1,"2026_01_CHI_CAR","00-0036480","7649","OdeyDa00","Dayo Odeyingbo","DL","CHI","CAR",0,75,0,0,,40,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,40,0,0,0,319,0,,,0,35,0,,,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,4,1,0,0,FALSE,FALSE,3.50666666666667,FALSE,,FALSE
2026,1,"2026_01_NYJ_TEN","00-0036500","7841","SherJa00","Jamien Sherwood","LB","NYJ","TEN",0,64,0,0,,28,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,28,0,0,0,168,0,,,0,36,0,,,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,,3,,0,FALSE,FALSE,7.65625,FALSE,,FALSE
2026,1,"2026_01_WAS_PHI","00-0036501","7835","CartMi02","Michael Carter","DB","PHI","WAS",0,53,0,0,,34,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,34,0,0,0,225,0,,,0,19,0,,,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,3,5,0,0,FALSE,FALSE,1.83018867924528,FALSE,,FALSE
2026,1,"2026_01_ATL_PIT","00-0036504","7796","EchoBr00","Brandin Echols","DB","PIT","ATL",0,65,0,0,,47,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,47,0,0,0,407,0,,,0,18,0,,,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,3,4,0,0,FALSE,FALSE,3.12307692307692,FALSE,,FALSE
2026,1,"2026_01_BAL_IND","00-0036550","7571","BateRa00","Rashod Bateman","WR","BAL","IND",53,64,0.78,0.828125,,32,,"pass_play_personnel_share","PROXY_PERSONNEL_PRESENCE",1,32,0.03125,0,23,270,0.0851851851851852,23,,0,32,0,,0.0714285714285714,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,5,5,0,0,TRUE,FALSE,11.125,FALSE,,FALSE
2026,1,"2026_01_BUF_HOU","00-0036554","7569","CollNi00","Nico Collins","WR","HOU","BUF",57,79,0.72,0.721518987341772,,48,,"pass_play_personnel_share","PROXY_PERSONNEL_PRESENCE",10,48,0.208333333333333,7,120,322,0.372670807453416,12,,1,31,0.032258064516129,,0.476190476190476,0,0,0,2,0,0,0,0,1,6,5,0.333333333333333,0,2,0,3,0,0,0,0,0,8,1,0,0,TRUE,FALSE,-3.83544303797468,FALSE,,FALSE
