"gsis_id","depth_bin","field_third","targets","receptions","catch_rate","air_yards","yards_per_target","epa_per_target_raw","success_rate","td_rate","explosive_rate","first_down_rate","yac","targets_total","targets_charted","targets_uncharted","epa_overall","target_share_of_self","epa_per_target","evidence_class","output_class","window"
"00-0021756","BEHIND_LOS","LEFT",0,0,,,,,,,,,,23,23,0,0.0607674375515553,0,0.0607674375515553,"INSUFFICIENT","OBSERVED","career"
"00-0021756","BEHIND_LOS","MIDDLE",0,0,,,,,,,,,,23,23,0,0.0607674375515553,0,0.0607674375515553,"INSUFFICIENT","OBSERVED","career"
"00-0021756","BEHIND_LOS","RIGHT",3,2,0.666666666666667,-3.66666666666667,1.33333333333333,-0.256145755566346,0.333333333333333,0,0,0.333333333333333,3,23,23,0,0.0607674375515553,0.130434782608696,0.0456763331173695,"INSUFFICIENT","OBSERVED","career"
"00-0021756","SHORT","LEFT",6,5,0.833333333333333,3,5.83333333333333,0.116504874148328,0.666666666666667,0,0,0.166666666666667,4.4,23,23,0,0.0607674375515553,0.260869565217391,0.065834477242171,"INSUFFICIENT","OBSERVED","career"
"00-0021756","SHORT","MIDDLE",5,4,0.8,5.2,9.2,-0.199818166508339,0.6,0,0.2,0.4,5.5,23,23,0,0.0607674375515553,0.217391304347826,0.0407223910854096,"INSUFFICIENT","OBSERVED","career"
"00-0021756","SHORT","RIGHT",5,4,0.8,2.4,7.8,0.277544896723703,0.6,0,0.2,0.6,7.75,23,23,0,0.0607674375515553,0.217391304347826,0.0774426267186436,"INSUFFICIENT","OBSERVED","career"
"00-0021756","INTERMEDIATE","LEFT",0,0,,,,,,,,,,23,23,0,0.0607674375515553,0,0.0607674375515553,"INSUFFICIENT","OBSERVED","career"
"00-0021756","INTERMEDIATE","MIDDLE",3,2,0.666666666666667,12.6666666666667,8.66666666666667,0.74493758007884,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,1.5,23,23,0,0.0607674375515553,0.130434782608696,0.0933469681480927,"INSUFFICIENT","OBSERVED","career"
"00-0021756","INTERMEDIATE","RIGHT",1,0,0,12,0,-1.1563873058185,0,0,0,0,,23,23,0,0.0607674375515553,0.0434782608695652,0.0408140811028659,"INSUFFICIENT","OBSERVED","career"
"00-0021756","DEEP","LEFT",0,0,,,,,,,,,,23,23,0,0.0607674375515553,0,0.0607674375515553,"INSUFFICIENT","OBSERVED","career"
"00-0021756","DEEP","MIDDLE",0,0,,,,,,,,,,23,23,0,0.0607674375515553,0,0.0607674375515553,"INSUFFICIENT","OBSERVED","career"
"00-0021756","DEEP","RIGHT",0,0,,,,,,,,,,23,23,0,0.0607674375515553,0,0.0607674375515553,"INSUFFICIENT","OBSERVED","career"
"00-0021931","BEHIND_LOS","LEFT",0,0,,,,,,,,,,68,68,0,0.255098848831519,0,0.255098848831519,"INSUFFICIENT","OBSERVED","career"
"00-0021931","BEHIND_LOS","MIDDLE",0,0,,,,,,,,,,68,68,0,0.255098848831519,0,0.255098848831519,"INSUFFICIENT","OBSERVED","career"
"00-0021931","BEHIND_LOS","RIGHT",1,1,1,-1,3,2.03198077855632,1,0,0,1,4,68,68,0,0.255098848831519,0.0147058823529412,0.28422806079422,"INSUFFICIENT","OBSERVED","career"
"00-0021931","SHORT","LEFT",19,11,0.578947368421053,5.42105263157895,4.26315789473684,-0.168291459468834,0.473684210526316,0,0,0.263157894736842,1.81818181818182,68,68,0,0.255098848831519,0.279411764705882,0.153270799999788,"WEAK","OBSERVED","career"
