"gsis_id","bucket","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","coverage_rate_pressure","evidence_class","availability","source","family","window"
"00-0038122","CLEAN",454,0.667400881057269,0.021116654256975,0.475770925110132,7.87885462555066,4.76897689768977,0.125550660792952,0,0,0.0242290748898679,0.0220264317180617,2.44080752212389,17,0.985826771653543,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0038122","PRESSURED",172,0.412790697674419,-0.363372277595563,0.354651162790698,9.37404580152672,4.30985915492958,0.104651162790698,0.238372093023256,0,0.0174418604651163,0.0348837209302325,3.16363846153846,16,0.985826771653543,"MODERATE","PRIOR_ONLY","participation","qb_pressure","career"
"00-0038128","CLEAN",111,0.738738738738739,0.349188476413109,0.504504504504504,7.89189189189189,6.02439024390244,0.162162162162162,0,0,0.009009009009009,0.036036036036036,2.26747747747748,13,0.944444444444444,"MODERATE","PRIOR_ONLY","participation","qb_pressure","career"
"00-0038128","PRESSURED",59,0.389830508474576,-0.35871187515557,0.288135593220339,10.1136363636364,4.56521739130435,0.169491525423729,0.254237288135593,0,0.0338983050847457,0.0338983050847458,3.92006818181818,11,0.944444444444444,"WEAK","PRIOR_ONLY","participation","qb_pressure","career"
"00-0038416","CLEAN",117,0.709401709401709,0.016209190493211,0.547008547008547,6.4957264957265,5.18072289156626,0.11965811965812,0,0,0.0427350427350427,0.0256410256410256,2.45,7,1,"MODERATE","PRIOR_ONLY","participation","qb_pressure","career"
"00-0038416","PRESSURED",37,0.432432432432432,-0.82697232180121,0.243243243243243,2.65625,7.3125,0.0540540540540541,0.135135135135135,0,0.027027027027027,0,3.5578125,6,1,"WEAK","PRIOR_ONLY","participation","qb_pressure","career"
"00-0038476","CLEAN",173,0.710982658959538,0.149611248696802,0.439306358381503,6.58381502890173,4.84552845528455,0.127167630057803,0,0,0.0173410404624278,0.0404624277456647,2.45529069767442,10,1,"MODERATE","PRIOR_ONLY","participation","qb_pressure","career"
"00-0038476","PRESSURED",92,0.239130434782609,-0.904499029563062,0.141304347826087,5.57142857142857,4.81818181818182,0.0108695652173913,0.467391304347826,0,0,0.0108695652173913,3.56274509803922,10,1,"MODERATE","PRIOR_ONLY","participation","qb_pressure","career"
"00-0038579","CLEAN",482,0.670124481327801,0.135413025301649,0.477178423236514,7.58298755186722,4.80185758513932,0.128630705394191,0,0,0.0186721991701245,0.037344398340249,2.52960498960499,15,1,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0038579","PRESSURED",159,0.339622641509434,-0.553062277501455,0.270440251572327,8.15322580645161,4.98148148148148,0.0754716981132075,0.220125786163522,0,0.0125786163522013,0.0125786163522013,3.22427419354839,15,1,"MODERATE","PRIOR_ONLY","participation","qb_pressure","career"
"00-0038583","CLEAN",169,0.609467455621302,-0.281074928967032,0.372781065088757,5.28994082840237,3.45631067961165,0.0414201183431953,0,0,0.0355029585798817,0.00591715976331362,2.31065088757396,10,1,"MODERATE","PRIOR_ONLY","participation","qb_pressure","career"
"00-0038583","PRESSURED",73,0.246575342465753,-0.84664806577916,0.178082191780822,8.10169491525424,5.5,0.0410958904109589,0.191780821917808,0,0.0547945205479452,0,3.42203389830508,7,1,"MODERATE","PRIOR_ONLY","participation","qb_pressure","career"
"00-0039150","CLEAN",1038,0.684007707129095,0.0731333669310901,0.461464354527938,7.08381502890174,4.19577464788732,0.110789980732177,0,0,0.0221579961464354,0.0366088631984585,2.42257971014493,25,1,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0039150","PRESSURED",466,0.3068669527897,-0.627685117517213,0.225321888412017,8.95114942528736,5.7972027972028,0.0772532188841202,0.253218884120172,0,0.0150214592274678,0.0236051502145923,3.51094555873925,24,1,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0039152","CLEAN",406,0.67487684729064,0.128681555079123,0.460591133004926,9.54433497536946,4.93795620437956,0.165024630541872,0,0,0.0270935960591133,0.0394088669950739,2.45450738916256,15,1,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0039152","PRESSURED",217,0.299539170506912,-0.608410123522364,0.216589861751152,9.68918918918919,5.01538461538462,0.0875576036866359,0.317972350230415,0,0.0230414746543779,0.0230414746543779,2.87295302013423,15,1,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
