"gsis_id","depth_bin","field_third","attempts","completions","completion_pct","air_yards","yards_per_attempt","epa_per_attempt_raw","success_rate","td_rate","int_rate","explosive_rate","first_down_rate","yac","attempts_total","attempts_charted","attempts_uncharted","epa_overall","attempt_share","epa_per_attempt","evidence_class","output_class","window"
"00-0021678","SHORT","LEFT",355,250,0.704225352112676,4.6112676056338,6.40845070422535,0.0705290202731431,0.554929577464789,0.0394366197183099,0.0140845070422535,0.0591549295774648,0.371830985915493,4.524,1738,1738,0,0.234681425672279,0.204257767548907,0.0942618981621748,"STRONG","OBSERVED","career"
"00-0021678","SHORT","MIDDLE",275,208,0.756363636363636,4.77090909090909,6.67272727272727,0.285049542386243,0.6,0.0581818181818182,0.0181818181818182,0.0654545454545455,0.410909090909091,4.21153846153846,1738,1738,0,0.234681425672279,0.158227848101266,0.276028387153891,"STRONG","OBSERVED","career"
"00-0021678","SHORT","RIGHT",345,257,0.744927536231884,3.98840579710145,6.2,0.127901526841487,0.544927536231884,0.0405797101449275,0.0144927536231884,0.0608695652173913,0.32463768115942,4.35019455252918,1738,1738,0,0.234681425672279,0.198504027617952,0.143720771112715,"STRONG","OBSERVED","career"
"00-0021678","INTERMEDIATE","LEFT",121,65,0.537190082644628,13.4214876033058,8.7603305785124,0.364784018459243,0.520661157024793,0.0661157024793388,0.0330578512396695,0.223140495867769,0.495867768595041,2.78461538461538,1738,1738,0,0.234681425672279,0.069620253164557,0.321656087148647,"STRONG","OBSERVED","career"
"00-0021678","INTERMEDIATE","MIDDLE",143,83,0.58041958041958,14.3356643356643,11.048951048951,0.512142740591147,0.587412587412587,0.0909090909090909,0.0699300699300699,0.391608391608392,0.545454545454545,4.80722891566265,1738,1738,0,0.234681425672279,0.0822784810126582,0.430134470171777,"STRONG","OBSERVED","career"
"00-0021678","INTERMEDIATE","RIGHT",119,68,0.571428571428571,13.5714285714286,9.7563025210084,0.423474816534974,0.579831932773109,0.0588235294117647,0.0420168067226891,0.260504201680672,0.529411764705882,3.19117647058824,1738,1738,0,0.234681425672279,0.0684695051783659,0.360192115687143,"STRONG","OBSERVED","career"
"00-0021678","DEEP","LEFT",68,23,0.338235294117647,30.8529411764706,12.0588235294118,0.45570215331304,0.338235294117647,0.0588235294117647,0.0294117647058823,0.338235294117647,0.338235294117647,5.8695652173913,1738,1738,0,0.234681425672279,0.0391254315304948,0.352098687231433,"MODERATE","OBSERVED","career"
"00-0021678","DEEP","MIDDLE",31,12,0.387096774193548,30.9032258064516,15.1935483870968,0.722914992681169,0.387096774193548,0.161290322580645,0.032258064516129,0.387096774193548,0.387096774193548,8.91666666666667,1738,1738,0,0.234681425672279,0.0178365937859609,0.401002750697285,"WEAK","OBSERVED","career"
"00-0021678","DEEP","RIGHT",88,30,0.340909090909091,30.6704545454545,11.5909090909091,0.457884380787817,0.352272727272727,0.136363636363636,0.0681818181818182,0.340909090909091,0.352272727272727,6.06666666666667,1738,1738,0,0.234681425672279,0.0506329113924051,0.367396696281518,"MODERATE","OBSERVED","career"
"00-0022177","BEHIND_LOS","LEFT",3,2,0.666666666666667,-2.66666666666667,6.33333333333333,0.237918851625485,0.666666666666667,0,0,0,0.333333333333333,11.5,53,53,0,-0.0640514108193236,0.0566037735849057,-0.049671874512428,"INSUFFICIENT","OBSERVED","career"
