"gsis_id","bucket","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","rusher_share","evidence_class","availability","source","family","note","window"
"00-0025708","FIVE",69,0.507246376811594,-0.329183812814638,0.405797101449275,8.61194029850746,6.11428571428571,0.130434782608696,0.0289855072463768,0,0.0579710144927536,0.0144927536231884,2.52402985074627,9,0.213622291021672,"WEAK","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0025708","FOUR",182,0.631868131868132,0.0773325493063866,0.456043956043956,7.91515151515152,4.68695652173913,0.131868131868132,0.0934065934065934,0,0.021978021978022,0.0384615384615385,2.59106666666667,10,0.563467492260062,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0025708","LT4",45,0.622222222222222,0.0251919917655239,0.444444444444444,5.26666666666667,5.14285714285714,0.133333333333333,0,0,0,0.0666666666666667,2.49153333333333,8,0.139318885448916,"WEAK","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0025708","SIXPLUS",27,0.518518518518518,0.53677340625238,0.481481481481482,11.12,5,0.222222222222222,0.0740740740740741,0,0,0.185185185185185,2.4298,8,0.0835913312693498,"WEAK","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0026143","FIVE",931,0.590762620837809,0.0515180463722191,0.484425349087003,8.63518299881937,5.24,0.163265306122449,0.0902255639097745,0,0.0214822771213749,0.0451127819548873,2.6434958677686,31,0.221930870083433,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0026143","FOUR",2540,0.646850393700787,0.0781184742083494,0.474015748031495,7.79555927943026,4.41752891052951,0.129527559055118,0.0598425196850393,0,0.0169291338582677,0.0370078740157482,2.75582118927973,31,0.605482717520858,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0026143","LT4",431,0.68677494199536,0.226342740119487,0.524361948955916,7.81516587677725,4.88851351351351,0.17169373549884,0.0208816705336427,0,0.0139211136890951,0.0417633410672854,2.93608530805687,31,0.102741358760429,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0026143","SIXPLUS",293,0.501706484641638,0.0964627770502869,0.447098976109215,9.2453531598513,7.25850340136055,0.184300341296928,0.0819112627986349,0,0.0238907849829352,0.0853242320819113,2.59040520446097,31,0.0698450536352801,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0026158","FIVE",630,0.553968253968254,-0.030512399152665,0.417460317460317,8.52292020373515,5.53295128939828,0.138095238095238,0.065079365079365,0,0.0111111111111111,0.0285714285714286,2.51520713073005,28,0.194264569842738,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0026158","FOUR",2083,0.621219395103216,-0.071784791180496,0.42966874699952,7.39161192521475,4.37789799072643,0.111377820451272,0.0499279884781565,0,0.0240038406144983,0.0292846855496881,2.67384133400707,28,0.642306506321307,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0026158","LT4",293,0.638225255972696,0.0271529134607024,0.42320819112628,7.54006968641115,3.85026737967914,0.10580204778157,0.0204778156996587,0,0.0136518771331058,0.0580204778156995,2.7276514084507,27,0.0903484427998767,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
