"gsis_id","bucket","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","coverage_rate_mz","evidence_class","availability","source","family","window"
"00-0033077","OTHER",86,0.593023255813953,0.035009767739905,0.430232558139535,10.3571428571429,4.50980392156863,0.127906976744186,0.0232558139534884,0,0.0465116279069767,0.0465116279069768,2.9927380952381,22,0.963798661046367,"MODERATE","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033104","COVER_0",2,0,-1.07463083782932,0,4,,0,0,0,0,0,3.1235,1,0.856209150326797,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033104","COVER_1",29,0.586206896551724,0.325233508292827,0.586206896551724,9.48275862068965,2.64705882352941,0.0689655172413793,0,0,0,0.0344827586206897,2.703,4,0.856209150326797,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033104","COVER_2",43,0.790697674418605,-0.00245437459038507,0.465116279069767,4.2093023255814,4.61764705882353,0.0232558139534884,0,0,0.0232558139534884,0,2.94916279069767,5,0.856209150326797,"WEAK","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033104","COVER_3",41,0.634146341463415,0.163737448223401,0.48780487804878,7.19512195121951,5.23076923076923,0.0975609756097561,0,0,0,0.024390243902439,2.82134146341463,5,0.856209150326797,"WEAK","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033104","COVER_4",10,0.6,-0.333846521124619,0.5,8.1,1.16666666666667,0,0,0,0.1,0,2.98,4,0.856209150326797,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033104","COVER_6",6,0.333333333333333,-0.173831548037318,0.333333333333333,6.66666666666667,0,0,0,0,0,0,4.16066666666667,2,0.856209150326797,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033106","2_MAN",66,0.651515151515152,0.389222871379692,0.515151515151515,7.96774193548387,4.86046511627907,0.121212121212121,0.0606060606060606,0,0,0.0454545454545455,2.56538709677419,20,0.978947368421053,"WEAK","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033106","COVER_0",118,0.542372881355932,0.35490478542989,0.483050847457627,4.85840707964602,5.328125,0.0932203389830508,0.0423728813559323,0,0,0.26271186440678,2.40763716814159,27,0.978947368421053,"MODERATE","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033106","COVER_1",808,0.613861386138614,0.210301622299811,0.492574257425743,7.27272727272727,5.82056451612903,0.165841584158416,0.0334158415841583,0,0.00990099009900989,0.0717821782178218,2.59705747126437,31,0.978947368421053,"STRONG","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033106","COVER_2",444,0.713963963963964,0.157283165528948,0.513513513513514,5.38915094339623,6.18296529968454,0.150900900900901,0.0450450450450451,0,0.018018018018018,0.0292792792792793,2.69461556603774,31,0.978947368421053,"STRONG","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033106","COVER_3",824,0.672330097087379,0.1264946687654,0.5,7.07556675062972,6.00902527075813,0.160194174757282,0.0364077669902917,0,0.0266990291262136,0.0303398058252427,2.66468978562421,31,0.978947368421053,"STRONG","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033106","COVER_4",303,0.66996699669967,0.178470947810519,0.488448844884489,6.04362416107383,5.38916256157635,0.099009900990099,0.0165016501650165,0,0.00990099009900989,0.0429042904290428,2.68390604026846,26,0.978947368421053,"STRONG","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033106","COVER_6",235,0.706382978723404,0.175603611816449,0.536170212765957,6.69827586206897,5.89156626506024,0.14468085106383,0.0127659574468085,0,0.0212765957446808,0.00851063829787233,2.84165517241379,30,0.978947368421053,"STRONG","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033106","OTHER",85,0.694117647058824,0.168926036840128,0.494117647058824,6,5.11864406779661,0.164705882352941,0.0352941176470588,0,0.0117647058823529,0.0470588235294118,2.5659512195122,18,0.978947368421053,"MODERATE","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033119","2_MAN",21,0.476190476190476,-0.217827686447138,0.428571428571429,6.70588235294118,10,0.19047619047619,0.19047619047619,0,0,0.0952380952380952,3.24117647058824,6,0.986717267552182,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033119","COVER_0",13,0.769230769230769,0.374745775107302,0.538461538461539,5.69230769230769,0.7,0,0,0,0,0.230769230769231,2.83076923076923,7,0.986717267552182,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033119","COVER_1",108,0.518518518518518,0.082163250849884,0.435185185185185,10.4536082474227,3.5,0.175925925925926,0.101851851851852,0,0.00925925925925927,0.0462962962962963,2.74742268041237,11,0.986717267552182,"MODERATE","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033119","COVER_2",117,0.666666666666667,0.042367897882737,0.521367521367521,6.09345794392524,5.7051282051282,0.11965811965812,0.0854700854700855,0,0.00854700854700855,0.0170940170940171,2.64150943396226,12,0.986717267552182,"MODERATE","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033119","COVER_3",159,0.641509433962264,-0.027532442904194,0.452830188679245,5.85906040268456,5.50980392156863,0.132075471698113,0.0628930817610063,0,0.0188679245283019,0.0125786163522013,2.74630872483221,11,0.986717267552182,"MODERATE","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033119","COVER_4",62,0.596774193548387,-0.133405504637166,0.387096774193548,9.83050847457627,4.2972972972973,0.161290322580645,0.0483870967741936,0,0.032258064516129,0.0967741935483871,3.05423728813559,9,0.986717267552182,"WEAK","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033119","COVER_6",19,0.473684210526316,-0.29469083384672,0.210526315789474,6.52941176470588,2.88888888888889,0.0526315789473684,0.105263157894737,0,0,0.0526315789473684,3.12352941176471,8,0.986717267552182,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033119","OTHER",21,0.476190476190476,-0.0137203659883798,0.428571428571429,9.68421052631579,4.7,0.0952380952380952,0.0952380952380952,0,0.0476190476190476,0.0952380952380952,3.12631578947368,7,0.986717267552182,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033275","2_MAN",6,0.333333333333333,-0.397855047491063,0.333333333333333,12.6666666666667,13.5,0.166666666666667,0,0,0.166666666666667,0,2.71666666666667,3,1,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
