"gsis_id","deep_rate","behind_los_rate","middle_rate","intermediate_middle_rate","deep_epa","short_epa","aDOT","pressure_epa_delta","pressure_scramble_rate","play_action_rate","archetype_cluster","archetype_label_status","vector_version"
"00-0033319",0.0897755610972569,0.15211970074813,0.280548628428928,0.0798004987531172,0.343406931230478,0.107678395407553,7.16209476309227,-0.519147640009514,0,0.37037037037037,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0033357",0.124183006535948,0.15359477124183,0.156862745098039,0.0392156862745098,0.191475695016036,0.165310883913055,8.27450980392157,-0.396492028992705,0,0.318181818181818,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0033537",0.12882096069869,0.129257641921397,0.237991266375546,0.0633187772925764,0.38553915151397,0.147033967373607,8.82532751091703,-0.446883980010334,0,0.245192307692308,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0033550",0.05,0.125,0.2,0.025,-0.020689760810973,-0.0261274231680748,5.1,,,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0033662",0.109427609427609,0.175084175084175,0.212121212121212,0.0606060606060606,0.0234269071812657,-0.0666287543909019,7.33838383838384,-0.328811841658894,0,0.196113074204947,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0033869",0.127206645898235,0.168743509865005,0.249740394600208,0.0695742471443406,0.101599985912726,0.132380716892195,8.32658359293873,-0.181645038288388,0,0.186813186813187,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0033873",0.116209262435678,0.202615780445969,0.20647512864494,0.0553173241852487,0.540452418290182,0.214853048661466,7.68846483704974,-0.320654410837887,0,0.177914110429448,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0033899",0.168604651162791,0.108527131782946,0.23062015503876,0.0484496124031008,-0.0590954549178833,-0.15449300960886,9.11046511627907,-0.445515323872009,0,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0033936",0.0944741532976827,0.135472370766488,0.221033868092692,0.0570409982174688,0.238871256779244,0.00993366176458523,7.15508021390374,-0.514422197940291,0,0.112676056338028,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0033949",0.109318996415771,0.170250896057348,0.231182795698925,0.0716845878136201,0.0411912141024909,0.0359706711602613,7.90143369175627,-0.585045212606611,0,0.208981001727116,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0033958",0.0955414012738854,0.133757961783439,0.165605095541401,0.0445859872611465,-0.52635776149012,-0.502783553195375,7.54140127388534,-0.577455380646561,0,0.192307692307692,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0034177",0.0995670995670996,0.199134199134199,0.199134199134199,0.038961038961039,-0.253224430668457,-0.160156509172292,6.45454545454546,-0.756176418942224,0,0.193103448275862,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0034343",0.130859375,0.1875,0.220703125,0.0546875,-0.190634485659419,-0.231789913244552,8.36328124999999,-0.258273432988766,0,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0034401",0.0771604938271605,0.16358024691358,0.212962962962963,0.0771604938271605,-0.0357922611492735,-0.0368787571235692,6.80555555555555,0.0280364986047674,0,0.194029850746269,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0034412",0.0821917808219178,0.287671232876712,0.136986301369863,0.0410958904109589,-0.460595431783793,-0.397104477291276,5.53424657534247,,,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0034577",0.109065155807365,0.151558073654391,0.175637393767705,0.0254957507082153,0.0583680146375399,0.122622497882543,7.75212464589235,-0.232164216621928,0,0.313953488372093,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0034771",0.11716621253406,0.185286103542234,0.247956403269755,0.053133514986376,0.0492962323098561,0.0490227410582135,7.49182561307902,-0.335696921519109,0,0.194594594594595,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0034796",0.132101777622865,0.14813523875915,0.30149878006274,0.0941094457999303,0.359252181222927,0.218349861287231,8.76612059951202,-0.472256757636886,0,0.241028708133971,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0034855",0.12719857252103,0.171297476421106,0.205200101962784,0.0599031353555952,0.341642030255241,0.125320553045236,8.23910272750446,-0.428383664619655,0,0.209893666204346,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0034857",0.137778867369453,0.162049521941652,0.192203971561657,0.0551605785731797,0.305417485791296,0.177189772071499,8.71635204707036,-0.308108099436742,0,0.202733485193622,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0034869",0.122115725949592,0.150869719559815,0.20376286829961,0.0653177138800142,0.285519747324248,0.0904444926607895,8.22967696130635,-0.578672543504083,0,0.264341085271318,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0034899",0.153846153846154,0.153846153846154,0.173076923076923,0.0769230769230769,-0.153785885839909,-0.0988658698127747,8.47115384615385,0.367817638116893,0,0.405797101449275,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0034955",0.136904761904762,0.136904761904762,0.178571428571429,0.0357142857142857,-0.203881209395328,-0.114252214681865,8.36904761904762,-0.609074444427688,0,0.160583941605839,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0035040",0.12396694214876,0.144628099173554,0.202479338842975,0.0702479338842975,-0.0684327461091864,-0.131051259277224,8.45867768595041,-0.37575457545671,0,0.349206349206349,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0035100",0.111413043478261,0.239130434782609,0.222826086956522,0.078804347826087,0.158720346075593,-0.0224040943721442,6.82880434782609,-0.892315163694645,0,0.197007481296758,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0035146",0.0869565217391304,0.195652173913043,0.184782608695652,0.0434782608695652,-0.304057028020252,-0.307719081206391,7.96739130434782,,,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0035228",0.12311901504788,0.203488372093023,0.202462380300958,0.0413816689466484,0.211455603411259,0.142213055874924,7.34610123119015,-0.53179707653399,0,0.206371191135734,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0035232",0.108843537414966,0.147392290249433,0.301587301587302,0.0839002267573696,-0.0518115566044851,0.0557661412929805,7.63945578231293,-0.238066590149721,0,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0035251",0.192307692307692,0.230769230769231,0.192307692307692,0,-0.328339607780758,-0.297708661386992,9.44230769230769,,,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0035264",0.131979695431472,0.152284263959391,0.213197969543147,0.0812182741116751,-0.0292145580627398,0.0254580574529277,8.20812182741117,-0.5093997312125,0,0.214723926380368,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0035282",0.109195402298851,0.17816091954023,0.149425287356322,0.0114942528735632,0.100647169332563,0.0795208298093456,6.91954022988506,-1.40987699790217,0,0.165775401069519,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0035289",0.103110599078341,0.16647465437788,0.205645161290323,0.0455069124423963,0.280375603255886,0.0909829722974829,7.25115207373272,-0.440746626619757,0,0.189473684210526,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0035577",0.14375,0.20625,0.15625,0.00625,0.0371267833104352,0.0275171886815218,7.34375,-0.455625686256302,0,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0035652",0.142857142857143,0.092436974789916,0.252100840336134,0.0840336134453782,-0.365050179009881,-0.336952598649705,8.87394957983193,-0.105263737489114,0,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
