"gsis_id","bucket","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","formation_share","evidence_class","availability","source","family","window"
"00-0031280","SINGLEBACK",542,0.656826568265683,0.167825771753786,0.501845018450184,8.25911708253359,5.09831460674157,0.166051660516605,0.0387453874538746,0,0.0239852398523985,0.0424354243542436,2.85468905950096,31,0.112799167533819,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0031280","UNDER CENTER",183,0.66120218579235,0.276928163866226,0.480874316939891,8.20224719101124,6.45454545454546,0.213114754098361,0.0273224043715847,0,0.0163934426229508,0.0601092896174864,3.03525139664804,18,0.0380853277835588,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0031280","WILDCAT",1,1,-0.58932446828112,0,-3,3,0,0,0,0,0,7.708,1,0.000208116545265349,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
"00-0031288","EMPTY",7,0.428571428571429,0.107374577891148,0.428571428571429,7.71428571428571,10.6666666666667,0.142857142857143,0,0,0,0,3.49085714285714,3,0.102941176470588,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
"00-0031288","I_FORM",3,0.666666666666667,0.44653699589738,0.666666666666667,7.33333333333333,4.5,0,0,0,0,0,2.97133333333333,2,0.0441176470588235,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
"00-0031288","SHOTGUN",49,0.510204081632653,-0.480122665082323,0.346938775510204,7.5609756097561,6.32,0.0816326530612245,0.163265306122449,0,0.0204081632653061,0,3.07836585365854,7,0.720588235294118,"MODERATE","PRIOR_ONLY","participation","qb_formation","career"
"00-0031288","SINGLEBACK",8,0.375,-0.179056678385678,0.25,5.42857142857143,3,0.125,0.125,0,0,0,2.98414285714286,2,0.117647058823529,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
"00-0031288","UNDER CENTER",1,0,-0.752194873522967,0,-7,,0,0,0,0,0,2.5,1,0.0147058823529412,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
"00-0031345","EMPTY",266,0.605263157894737,0.0760710049525888,0.481203007518797,7.31983805668016,5.72049689440994,0.120300751879699,0.0714285714285714,0,0.0150375939849624,0.0451127819548872,2.36372469635628,26,0.131422924901186,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0031345","I_FORM",191,0.649214659685864,0.42110467949091,0.544502617801047,9.1,6.5483870967742,0.235602094240838,0.0575916230366493,0,0,0.0261780104712042,2.97151666666667,26,0.0943675889328063,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0031345","JUMBO",4,0.5,-0.0332710853836033,0.5,4.5,2,0,0,0,0,0.25,2.927,3,0.00197628458498024,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
"00-0031345","PISTOL",18,0.777777777777778,0.591418392698357,0.611111111111111,8.05555555555556,6.78571428571429,0.222222222222222,0,0,0,0.0555555555555555,2.55483333333333,7,0.00889328063241107,"WEAK","PRIOR_ONLY","participation","qb_formation","career"
"00-0031345","SHOTGUN",1210,0.626446280991735,0.142875817558554,0.480165289256198,7.16740872662511,6.32058047493404,0.156198347107438,0.071900826446281,0,0.028099173553719,0.0495867768595041,2.62660552092609,28,0.597826086956522,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0031345","SINGLEBACK",270,0.655555555555555,0.175042539163863,0.551851851851852,6.92996108949417,7.74011299435028,0.211111111111111,0.0481481481481482,0,0.037037037037037,0.0481481481481482,2.921953307393,27,0.133399209486166,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0031345","UNDER CENTER",65,0.661538461538462,0.0809171790167583,0.569230769230769,5.98412698412698,6.74418604651163,0.184615384615385,0.0307692307692308,0,0.0615384615384615,0.0461538461538461,2.61746031746032,7,0.0321146245059289,"MODERATE","PRIOR_ONLY","participation","qb_formation","career"
"00-0031407","EMPTY",108,0.472222222222222,-0.149516991220812,0.351851851851852,8.50980392156863,4.72549019607843,0.0925925925925926,0.0555555555555555,0,0.0370370370370371,0.0462962962962963,2.50461764705882,18,0.0665024630541872,"MODERATE","PRIOR_ONLY","participation","qb_formation","career"
"00-0031407","I_FORM",77,0.636363636363636,0.436156445539665,0.558441558441558,6.72602739726027,8.0204081632653,0.246753246753247,0.0519480519480519,0,0,0.0779220779220779,2.97780821917808,19,0.0474137931034483,"MODERATE","PRIOR_ONLY","participation","qb_formation","career"
"00-0031407","JUMBO",3,0.666666666666667,0.277262711470636,0.666666666666667,1,0,0,0,0,0,0.666666666666667,2.60466666666667,3,0.00184729064039409,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
"00-0031407","PISTOL",9,0.444444444444444,-0.705274105379072,0.222222222222222,11.875,1.75,0,0.111111111111111,0,0,0,2.72575,6,0.00554187192118227,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
"00-0031407","SHOTGUN",1234,0.565640194489465,-0.0394008480557246,0.423014586709887,7.87085811384877,5.53724928366762,0.121555915721232,0.0461912479740679,0,0.0275526742301458,0.0307941653160453,2.63128377230246,26,0.759852216748768,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0031407","SINGLEBACK",193,0.601036269430052,0.165315025461774,0.476683937823834,7.24725274725275,6.22413793103448,0.139896373056995,0.0569948186528497,0,0.0103626943005181,0.0310880829015544,3.027,24,0.11884236453202,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
