"gsis_id","field_third","carries","yards_per_carry","epa_per_rush_raw","success_rate","explosive_rate","stuff_rate","td_rate","first_down_rate","carries_total","carries_charted","carries_uncharted","epa_overall","carry_share","epa_per_rush","evidence_class","output_class","window"
"00-0025487","RIGHT",87,4.02298850574713,-0.045179169637926,0.379310344827586,0.0804597701149425,0.172413793103448,0.0459770114942529,0.275862068965517,177,177,0,-0.126970066306774,0.491525423728814,-0.0785632090945986,"MODERATE","OBSERVED","career"
"00-0025524","LEFT",2,5.5,-0.358314106561011,0,0,0,0,0,25,25,0,-0.0668808220210486,0.08,-0.0762818957158861,"INSUFFICIENT","OBSERVED","career"
"00-0025524","MIDDLE",20,2.85,-0.00329950588056812,0.45,0.05,0.15,0,0.4,25,25,0,-0.0668808220210486,0.8,-0.0509854929859285,"WEAK","OBSERVED","career"
"00-0025524","RIGHT",3,2,-0.296467406597609,0.333333333333333,0,0,0,0.333333333333333,25,25,0,-0.0668808220210486,0.12,-0.0778135165246943,"INSUFFICIENT","OBSERVED","career"
"00-0025631","LEFT",22,3.36363636363636,-0.377345788043042,0.409090909090909,0.0454545454545455,0.363636363636364,0,0.136363636363636,62,62,0,-0.172246398720385,0.354838709677419,-0.227273064148415,"WEAK","OBSERVED","career"
"00-0025631","MIDDLE",8,1.75,-0.333350411332503,0,0,0.25,0,0.125,62,62,0,-0.172246398720385,0.129032258064516,-0.191199811968869,"INSUFFICIENT","OBSERVED","career"
"00-0025631","RIGHT",32,4.34375,0.00903543459197223,0.375,0.03125,0.21875,0.03125,0.25,62,62,0,-0.172246398720385,0.516129032258065,-0.109191848003043,"WEAK","OBSERVED","career"
"00-0025637","LEFT",157,4.73248407643312,0.0335933956566746,0.477707006369427,0.0828025477707006,0.191082802547771,0.0254777070063694,0.286624203821656,383,383,0,-0.0533598662422909,0.409921671018277,0.00955101909474867,"STRONG","OBSERVED","career"
"00-0025637","MIDDLE",94,3.80851063829787,-0.333165634284894,0.265957446808511,0.0957446808510638,0.212765957446809,0.0106382978723404,0.170212765957447,383,383,0,-0.0533598662422909,0.245430809399478,-0.224150399982581,"MODERATE","OBSERVED","career"
"00-0025637","RIGHT",132,4.62121212121212,0.0424740737415506,0.477272727272727,0.0606060606060606,0.151515151515152,0.0378787878787879,0.234848484848485,383,383,0,-0.0533598662422909,0.344647519582245,0.0125259674966001,"STRONG","OBSERVED","career"
"00-0025701","LEFT",38,4.73684210526316,0.099032910604269,0.342105263157895,0.105263157894737,0.157894736842105,0.0526315789473684,0.263157894736842,136,136,0,-0.158524797481411,0.279411764705882,-0.0586554821012495,"WEAK","OBSERVED","career"
"00-0025701","MIDDLE",46,2.28260869565217,-0.356462823599703,0.304347826086957,0.0217391304347826,0.347826086956522,0.0434782608695652,0.217391304347826,136,136,0,-0.158524797481411,0.338235294117647,-0.244422431457274,"MODERATE","OBSERVED","career"
"00-0025701","RIGHT",52,3.40384615384615,-0.171641022593226,0.307692307692308,0.0576923076923077,0.211538461538462,0.0192307692307692,0.192307692307692,136,136,0,-0.158524797481411,0.382352941176471,-0.164614473426183,"MODERATE","OBSERVED","career"
"00-0025860","LEFT",173,3.42774566473988,-0.162191589718053,0.300578034682081,0.0404624277456647,0.190751445086705,0.0173410404624277,0.144508670520231,498,498,0,-0.0757619921374762,0.347389558232932,-0.139935040984857,"STRONG","OBSERVED","career"
"00-0025860","MIDDLE",127,3.71653543307087,-0.054457067566975,0.417322834645669,0.047244094488189,0.141732283464567,0.031496062992126,0.228346456692913,498,498,0,-0.0757619921374762,0.255020080321285,-0.0612928722420021,"STRONG","OBSERVED","career"
"00-0025860","RIGHT",198,3.96464646464647,-0.0139105024355256,0.383838383838384,0.0555555555555556,0.176767676767677,0.0303030303030303,0.247474747474748,498,498,0,-0.0757619921374762,0.397590361445783,-0.0282945698080723,"STRONG","OBSERVED","career"
