"team","run_gap","carries_allowed","yards_per_carry_allowed","epa_per_rush_allowed","success_rate_allowed","explosive_rate_allowed","evidence_class","output_class","window"
"NO","GUARD",1858,3.83476856835307,-0.129263898646075,0.369214208826695,0.0468245425188375,"STRONG","OBSERVED","career"
"NO","TACKLE",1377,4.43790849673203,-0.0685587941080017,0.364560639070443,0.0769789397240378,"STRONG","OBSERVED","career"
"NYG","END",1689,5.20663114268798,0.0489454778128061,0.450562462995856,0.143872113676732,"STRONG","OBSERVED","career"
"NYG","GUARD",1389,4.20446364290857,-0.0178422021521693,0.408927285817134,0.0561555075593952,"STRONG","OBSERVED","career"
"NYG","TACKLE",1509,4.43074884029158,-0.06479368936852,0.352551358515573,0.0781974817760106,"STRONG","OBSERVED","career"
"NYJ","END",1292,4.63467492260062,-0.0467451381205128,0.407120743034055,0.121517027863777,"STRONG","OBSERVED","career"
"NYJ","GUARD",1500,4.136,-0.0554688947712907,0.369999999999999,0.062,"STRONG","OBSERVED","career"
"NYJ","TACKLE",1449,3.82056590752243,-0.110147886874179,0.347826086956521,0.0710835058661146,"STRONG","OBSERVED","career"
"PHI","END",1634,4.71542227662179,-0.0380293947264749,0.422276621787025,0.112607099143207,"STRONG","OBSERVED","career"
"PHI","GUARD",1113,3.71877807726864,-0.11529799257174,0.367475292003594,0.0476190476190476,"STRONG","OBSERVED","career"
"PHI","TACKLE",1159,3.95427092320966,-0.13396447975071,0.337359792924935,0.0586712683347714,"STRONG","OBSERVED","career"
"PIT","END",782,5.18797953964194,0.0460699141701512,0.443734015345269,0.118925831202046,"STRONG","OBSERVED","career"
"PIT","GUARD",1683,4.14438502673797,-0.0735728111464923,0.386215092097445,0.0683303624480095,"STRONG","OBSERVED","career"
"PIT","TACKLE",1456,4.53159340659341,-0.063377291956605,0.357142857142857,0.0906593406593407,"STRONG","OBSERVED","career"
"SEA","END",1127,4.88376220053239,-0.0113193904562638,0.447204968944099,0.0967169476486247,"STRONG","OBSERVED","career"
"SEA","GUARD",1270,3.74488188976378,-0.115705433615708,0.359055118110236,0.0496062992125984,"STRONG","OBSERVED","career"
"SEA","TACKLE",1456,4.20741758241759,-0.0942208669249383,0.36195054945055,0.073489010989011,"STRONG","OBSERVED","career"
"SF","END",1084,4.95295202952029,0.0306400932325963,0.457564575645757,0.116236162361624,"STRONG","OBSERVED","career"
"SF","GUARD",1365,4.09304029304029,-0.0626338655132788,0.405128205128205,0.0593406593406593,"STRONG","OBSERVED","career"
"SF","TACKLE",1290,4.13565891472868,-0.0906288599070696,0.362790697674419,0.0596899224806202,"STRONG","OBSERVED","career"
"TB","END",1322,4.54009077155824,-0.0676840971190852,0.413767019667171,0.121028744326778,"STRONG","OBSERVED","career"
"TB","GUARD",1277,3.90054815974942,-0.0669266005011986,0.380579483163665,0.0587314017227878,"STRONG","OBSERVED","career"
"TB","TACKLE",1219,4.233798195242,-0.1002627183769,0.342904019688269,0.0861361771944217,"STRONG","OBSERVED","career"
"TEN","END",1189,4.74264087468461,0.0278451049460572,0.452481076534903,0.107653490328007,"STRONG","OBSERVED","career"
"TEN","GUARD",1311,4.02135774218154,-0.0512150184601547,0.383676582761251,0.0541571319603356,"STRONG","OBSERVED","career"
"TEN","TACKLE",1298,3.99691833590139,-0.0866720116918111,0.36055469953775,0.0593220338983051,"STRONG","OBSERVED","career"
"WAS","END",1656,5.26751207729469,0.0210252407786722,0.454710144927536,0.111111111111111,"STRONG","OBSERVED","career"
"WAS","GUARD",1370,4.32408759124088,-0.0152291240288793,0.400729927007299,0.0583941605839416,"STRONG","OBSERVED","career"
"WAS","TACKLE",1362,4.19089574155653,-0.0912948828876213,0.370778267254038,0.0763582966226138,"STRONG","OBSERVED","career"
"ARI","END",246,5.73983739837398,0.0615087604243372,0.451219512195122,0.150406504065041,"STRONG","OBSERVED","recent"
"ARI","GUARD",216,3.78703703703704,-0.0947293508353303,0.407407407407407,0.0648148148148148,"STRONG","OBSERVED","recent"
"ARI","TACKLE",389,4.96143958868895,-0.00430318493981945,0.408740359897172,0.089974293059126,"STRONG","OBSERVED","recent"
"ATL","END",254,3.78740157480315,-0.145067895883931,0.405511811023622,0.0708661417322835,"STRONG","OBSERVED","recent"
"ATL","GUARD",416,4.40144230769231,-0.0253144867403299,0.435096153846154,0.0625,"STRONG","OBSERVED","recent"
"ATL","TACKLE",340,3.96470588235294,-0.0951949952386657,0.36764705882353,0.0676470588235294,"STRONG","OBSERVED","recent"
