"team","live__plays_faced","live__epa_per_play_allowed","live__success_allowed","live__explosive_pass_allowed","live__explosive_rush_allowed","man_zone__charted_mz","man_zone__man_rate","man_zone__zone_rate","coverage_family__charted_cov","coverage_family__cover_1","coverage_family__cover_2","coverage_family__cover_3","coverage_family__cover_4","coverage_family__cover_6","coverage_family__two_man","coverage_family__cover_0","pressure__charted_pressure","pressure__pressure_rate_generated","pressure__blitz_proxy_rate","pressure__pressure_without_heavy_blitz_rate","box__mean_box_deployed","box__heavy_box_rate","side","window"
"MIN",14808,-0.0411325507517239,0.430510534846029,0.0747568881685575,0.0266747703943814,4683,0.261370916079436,0.738629083920564,4683,0.177877428998505,0.211189408498826,0.249626307922272,0.148195601110399,0.100363015161221,0.0363015161221439,0.0471919709587871,5792,0.280386740331492,0.314917127071823,0.169716850828729,6.75716403162055,0.185276679841897,"defense","career"
"NE",14487,-0.0400001539454831,0.424754935800084,0.078346103403051,0.0303720577069096,4476,0.481903485254692,0.518096514745308,4476,0.384048257372654,0.164432529043789,0.254468275245755,0.0614387846291332,0.0218945487042002,0.0265862377122431,0.0712689901697945,5670,0.273721340388007,0.271300052919386,0.17989417989418,6.73454075032341,0.181630012936611,"defense","career"
"NO",14447,-0.014185771850604,0.42098705613622,0.0775939641448052,0.0350245725756212,4595,0.396953210010881,0.603046789989119,4595,0.301196953210011,0.179760609357998,0.236779107725789,0.126659412404788,0.038955386289445,0.0572361262241567,0.0385201305767138,5732,0.269190509420796,0.283496161898116,0.171493370551291,6.79180710396681,0.201451905626134,"defense","career"
"NYG",14916,0.0141617560965439,0.43336015017431,0.0777017967283454,0.0389514615178332,4598,0.379512831665942,0.620487168334058,4598,0.288603740756851,0.136363636363636,0.305132666376686,0.126794258373206,0.0384949978251414,0.040887342322749,0.0500217485863419,5786,0.285862426546837,0.311787072243346,0.170411337711718,6.75267030619511,0.176833610253976,"defense","career"
"NYJ",14795,-0.000488344400699439,0.410369068541301,0.0743494423791822,0.0335924298749578,4566,0.374726237406921,0.625273762593079,4566,0.307709154621113,0.169294787560228,0.222952255803767,0.133158125273763,0.0781865965834428,0.0346035917652212,0.0324134910205869,5676,0.283298097251586,0.300563777307963,0.177589852008457,6.77032941718498,0.185210780926054,"defense","career"
"PHI",14762,-0.0246988277417733,0.421419861807343,0.0741769407939304,0.0321772117599241,4707,0.392181856809008,0.607818143190992,4707,0.312088379009985,0.155300616103675,0.263862332695985,0.0992139366900361,0.0609730189080093,0.0371786700658594,0.0429148077331634,5865,0.310997442455243,0.226427962489344,0.222847399829497,6.81522323830016,0.198762775685853,"defense","career"
"PIT",14344,-0.0303929362137946,0.415574456218628,0.0780814277746793,0.0310931399888455,4576,0.395541958041958,0.604458041958042,4576,0.315340909090909,0.171765734265734,0.302229020979021,0.0563811188811189,0.0574737762237762,0.0552884615384615,0.0249125874125874,5678,0.296407185628743,0.300105671010919,0.185804860866502,6.75974522292994,0.208407643312102,"defense","career"
"SEA",14628,-0.0448214727794885,0.42015313098168,0.071438337435056,0.0290538692917692,4895,0.278447395301328,0.721552604698672,4895,0.216956077630235,0.177119509703779,0.330337078651685,0.0966292134831461,0.0964249233912155,0.0386108273748723,0.0228804902962206,5988,0.299265197060788,0.240313961255845,0.200233800935204,6.89389855427591,0.25312423425631,"defense","career"
"SF",14459,-0.0254231583363274,0.422505014178021,0.0695760426032229,0.028286880143855,4528,0.280256183745583,0.719743816254417,4528,0.237853356890459,0.107332155477032,0.33303886925795,0.187058303886926,0.0731007067137809,0.0178886925795053,0.0245141342756184,5605,0.277252453166815,0.238622166696413,0.191436217662801,6.73484659516089,0.184085806934398,"defense","career"
"TB",14642,-0.00671208192533844,0.431976505941811,0.0816828302144516,0.0322360333287802,4977,0.303194695599759,0.696805304400241,4977,0.216194494675507,0.15792646172393,0.30520393811533,0.144665461121157,0.0665059272654209,0.0427968655816757,0.0442033353425758,6082,0.289542913515291,0.325221966458402,0.170667543571194,6.84628008752735,0.215536105032823,"defense","career"
