"gsis_id","bucket","targets","catch_rate","yards_per_target","air_yards","yac","epa_per_target","success_rate","explosive_rate","n_opp","targets_eligible","targets_charted_mz","mz_coverage_rate","target_share_vs_bucket","evidence_class","availability","source","family","window"
"00-0030300","MAN",15,0.533333333333333,4.33333333333333,8.2,1.25,-0.445155541123283,0.533333333333333,0.0666666666666667,9,47,47,1,0.319148936170213,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030300","ZONE",32,0.6875,10.03125,11.78125,4.31818181818182,0.71064900650863,0.65625,0.25,13,47,47,1,0.680851063829787,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030404","MAN",21,0.476190476190476,1.28571428571429,2.28571428571429,3,-0.754376704381076,0.0476190476190476,0,10,138,136,0.985507246376812,0.154411764705882,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030404","ZONE",115,0.808695652173913,6.61739130434783,1.71304347826087,6.76344086021505,0.0997902390907891,0.48695652173913,0.0695652173913043,15,138,136,0.985507246376812,0.845588235294118,"MODERATE","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030414","MAN",11,0.909090909090909,12.6363636363636,2.54545454545455,11.3,1.06495661333743,0.727272727272727,0.454545454545455,7,30,30,1,0.366666666666667,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030414","ZONE",19,0.789473684210526,5.63157894736842,-1.10526315789474,9.8,0.0372583003243868,0.421052631578947,0,10,30,30,1,0.633333333333333,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030431","MAN",216,0.550925925925926,7.41666666666667,9.62037037037037,5.71428571428572,0.151200554673354,0.472222222222222,0.222222222222222,30,664,663,0.998493975903614,0.32579185520362,"STRONG","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030431","ZONE",447,0.682326621923937,7.60402684563759,8.42729306487696,4.46885245901639,0.235042990388615,0.543624161073825,0.152125279642058,31,664,663,0.998493975903614,0.67420814479638,"STRONG","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030443","MAN",11,0.818181818181818,7.72727272727273,5.63636363636364,4.22222222222222,0.248007370413027,0.545454545454545,0.181818181818182,7,32,31,0.96875,0.354838709677419,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030443","ZONE",20,0.9,11.3,6.65,6.16666666666667,0.761755223743967,0.8,0.3,10,32,31,0.96875,0.645161290322581,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030456","MAN",47,0.723404255319149,5.17021276595745,1.23404255319149,7.11764705882353,-0.00992297133874537,0.340425531914894,0.170212765957447,21,182,178,0.978021978021978,0.264044943820225,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030456","ZONE",131,0.770992366412214,5.22900763358779,0.305343511450382,6.83168316831683,-0.102994628616373,0.358778625954198,0.0458015267175573,26,182,178,0.978021978021978,0.735955056179775,"MODERATE","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030470","MAN",47,0.48936170212766,4.93617021276596,6.42553191489362,6.60869565217391,-0.281647314521263,0.276595744680851,0.0638297872340425,19,147,147,1,0.319727891156463,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030470","ZONE",100,0.8,7.5,3.93,6.075,0.26800963340211,,0.09,25,147,147,1,0.680272108843537,"MODERATE","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030472","MAN",42,0.571428571428571,7.0952380952381,9.35714285714286,4.83333333333333,-0.0300674685151022,0.547619047619048,0.19047619047619,12,130,130,1,0.323076923076923,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030472","ZONE",88,0.636363636363636,5.625,6.27272727272727,3.55357142857143,0.0499310574862039,0.409090909090909,0.0681818181818182,15,130,130,1,0.676923076923077,"MODERATE","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030496","MAN",32,0.625,2.5625,0.59375,4.4,-0.363023361588343,0.3125,0,13,106,105,0.990566037735849,0.304761904761905,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030496","ZONE",73,0.917808219178082,7.49315068493151,0.534246575342466,7.67164179104478,0.194588757024389,0.52054794520548,0.10958904109589,17,106,105,0.990566037735849,0.695238095238095,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030506","MAN",393,0.674300254452926,7.75063613231552,7.28571428571429,5.50566037735849,0.35642811219608,0.5470737913486,0.178117048346056,31,1084,1081,0.997232472324723,0.363552266419982,"STRONG","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030506","ZONE",688,0.738372093023256,8.89825581395349,7.97525473071326,5.04330708661417,0.424204929985467,0.630813953488372,0.193313953488372,31,1084,1081,0.997232472324723,0.636447733580018,"STRONG","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030513","MAN",29,0.758620689655172,7.72413793103448,0.620689655172414,9.68181818181818,0.43172509746358,0.551724137931034,0.241379310344828,18,166,165,0.993975903614458,0.175757575757576,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030513","ZONE",136,0.816176470588235,4.80882352941176,-0.676470588235294,6.62162162162162,-0.137647220390602,0.360294117647059,0.0367647058823529,28,166,165,0.993975903614458,0.824242424242424,"MODERATE","PRIOR_ONLY","participation","receiver_coverage","career"
