"gsis_id","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","concept","frequency","plays_with_concept","charted_plays","evidence_class","availability","source","family","window"
"00-0027688",24,0.458333333333333,-0.443635141934161,0.375,10.05,3.27272727272727,0.166666666666667,0.166666666666667,0,0.0416666666666667,0,2.7726,4,"play_action",0.16551724137931,24,145,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0027948",7,0.571428571428571,0.178642329793157,0.571428571428571,-0.714285714285714,7.25,0,0,0,0,0,1.89557142857143,3,"play_action",0.159090909090909,7,44,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0027973",109,0.651376146788991,0.108974035194382,0.522935779816514,8.35294117647059,4.53521126760563,0.211009174311927,0.0642201834862385,0,0.018348623853211,0.0275229357798165,2.95845098039216,19,"play_action",0.161242603550296,109,676,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0028118",63,0.603174603174603,-0.137721429459421,0.492063492063492,8.21052631578947,5.8421052631579,0.126984126984127,0.0952380952380952,0,0.0476190476190476,0.0158730158730159,3.43953448275862,12,"play_action",0.169811320754717,63,371,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0028986",13,0.615384615384615,-0.218547235851964,0.384615384615385,3.91666666666667,5.375,0,0.0769230769230769,0,0,0,3.25025,3,"play_action",0.196969696969697,13,66,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0029263",319,0.58307210031348,0.0100819039626122,0.420062695924765,7.06164383561643,6.83870967741935,0.15987460815047,0.0846394984326019,0,0.0125391849529781,0.0501567398119123,3.21046735395189,25,"play_action",0.209730440499671,319,1521,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0029567",4,0.5,-0.179227331973379,0.25,7.25,8.5,0.25,0,0,0,0,2.57,2,"play_action",0.08,4,50,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0029604",412,0.657766990291262,0.0957928975735582,0.487864077669903,6.61577608142493,5.63468634686346,0.174757281553398,0.0461165048543689,0,0.0145631067961165,0.0388349514563107,3.10602025316456,25,"play_action",0.233031674208145,412,1768,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0029701",158,0.588607594936709,0.258693956251338,0.512658227848101,9.95172413793103,8.23655913978495,0.259493670886076,0.0822784810126582,0,0.0253164556962025,0.0316455696202532,3.071875,16,"play_action",0.256077795786062,158,617,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0030565",503,0.666003976143141,0.0958436041618902,0.514910536779324,7.11228813559322,6.21194029850746,0.184890656063618,0.0616302186878728,0,0.0198807157057654,0.0318091451292246,3.07894055201699,30,"play_action",0.2215859030837,503,2270,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0031237",24,0.666666666666667,0.428687999523849,0.541666666666667,12.2727272727273,4.0625,0.291666666666667,0.0833333333333333,0,0,0,3.3205,4,"play_action",0.233009708737864,24,103,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0031280",253,0.66403162055336,0.176016179374753,0.470355731225296,8.74793388429752,6.72023809523809,0.221343873517787,0.0434782608695652,0,0.0276679841897233,0.0592885375494071,3.07592592592593,23,"play_action",0.181362007168459,253,1395,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0031288",0,,,,,,,,,,,,0,"play_action",0,0,6,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
